Línea 1,Texto 1,Línea 2,Texto 2,Similitud (%)
3162,T.J EXCURSIONES,3257,TJ EXCURSIONES,96.55%
3179,TALCA  PARIS Y LONDRES,3180,TALCA PARIS Y LONDRES,97.67%
3192,TAN TUR,3198,TANTUR,92.31%
3198,TANTUR,3528,TRANSTUR,85.71%
3204,TARAIJA,3205,TARIJA,92.31%
3207,TAS  CHOAPA,3208,TAS CHOAPA,95.24%
3228,TENTACION,3229,TENTACION,100.00%
3232,TERMA TUR,3238,TERRA TUR,88.89%
3237,TERRA SUR,3238,TERRA TUR,88.89%
3238,TERRA TUR,3240,TERRATOUR,88.89%
3251,TIGRE IGUAZU,3252,TIGRE YGUAZU,91.67%
3251,TIGRE IGUAZU,3587,TRIGE IGUAZU,91.67%
3261,TMO SUR,3269,TOR SUR,85.71%
3276,TOURING BUS,3277,TOURING BUS,100.00%
3276,TOURING BUS,3635,TURING BUS,95.24%
3276,TOURING BUS,3634,TURIN BUS,90.00%
3277,TOURING BUS,3635,TURING BUS,95.24%
3277,TOURING BUS,3634,TURIN BUS,90.00%
3279,TRABEL BUS,3555,TRAVEL BUS,90.00%
3281,TRAM OSORIO,3290,TRAN OSORIO,90.91%
3286,TRAMPORTE MATUS,3288,TRAMPOTE MATUS,96.55%
3286,TRAMPORTE MATUS,3468,TRANSPORTE MATUS,90.32%
3286,TRAMPORTE MATUS,3514,TRANSPORTES MATUS,87.50%
3288,TRAMPOTE MATUS,3468,TRANSPORTE MATUS,86.67%
3295,TRANPER,3381,TRANSPER,93.33%
3300,TRANS BRASIL,3334,TRANSBRASIL,95.65%
3302,TRANS BUS VIAJES,3336,TRANSBUS VIAJES,96.77%
3305,TRANS GIRO,3344,TRANSGIRO,94.74%
3313,TRANS PEREZ,3382,TRANSPEREZ,95.24%
3313,TRANS PEREZ,3364,TRANSP PERES,86.96%
3316,TRANS SOUTH AMERICA,3317,TRANS SOUTH AMERICA LTDA,88.37%
3318,TRANS TOUR,3528,TRANSTUR,88.89%
3329,TRANSANTIN,3353,TRANSNTIN,94.74%
3330,TRANSATLANTICA,3331,TRANSATRLANTICA,96.55%
3338,TRANSE,3349,TRANSIER,85.71%
3338,TRANSE,3381,TRANSPER,85.71%
3343,TRANSGERCI TURISMO,3345,TRANSGIRO TURISMO,85.71%
3349,TRANSIER,3381,TRANSPER,87.50%
3359,TRANSP CATEDRAL,3506,TRANSPORTES CATEDRAL,85.71%
3371,TRANSP. AVELLANEDA,3410,TRANSPORTE AVELLANEDA,87.18%
3375,TRANSP. PATAGONICA,3379,TRANSPATAGONIA,87.50%
3381,TRANSPER,3382,TRANSPEREZ,88.89%
3384,TRANSPOL S.R.L,3488,TRANSPORTE S.R.L,86.67%
3386,TRANSPORT LUCHY,3459,TRANSPORTE LUCHY,96.77%
3387,TRANSPORTA HG,3509,TRANSPORTES HG,88.89%
3392,TRANSPORTE,3442,TRANSPORTE HC,86.96%
3392,TRANSPORTE,3443,TRANSPORTE HP,86.96%
3395,TRANSPORTE  AVELLANEDA,3410,TRANSPORTE AVELLANEDA,97.67%
3400,TRANSPORTE ACEVEDO,3420,TRANSPORTE CERESO,85.71%
3401,TRANSPORTE ACU�A,3543,TRASPORTE ACU�A,96.77%
3403,TRANSPORTE ALEGRIA,3411,TRANSPORTE BALORI,85.71%
3403,TRANSPORTE ALEGRIA,3466,TRANSPORTE MARISA,85.71%
3407,TRANSPORTE AUTOMOTOR DEL LITORAL,3409,TRANSPORTE AUTOMOTORES LAIOLO,85.25%
3412,TRANSPORTE BARBOSA,3466,TRANSPORTE MARISA,85.71%
3415,TRANSPORTE BSAS,3490,TRANSPORTE SAIZ,86.67%
3416,TRANSPORTE C H,3442,TRANSPORTE HC,88.89%
3416,TRANSPORTE C H,3443,TRANSPORTE HP,88.89%
3416,TRANSPORTE C H,3459,TRANSPORTE LUCHY,86.67%
3416,TRANSPORTE C H,3509,TRANSPORTES HG,85.71%
3416,TRANSPORTE C H,3511,TRANSPORTES JC,85.71%
3418,TRANSPORTE CANI,3490,TRANSPORTE SAIZ,86.67%
3418,TRANSPORTE CANI,3499,TRANSPORTE WANG,86.67%
3418,TRANSPORTE CANI,3442,TRANSPORTE HC,85.71%
3419,TRANSPORTE CARLOS FERNANDEZ,3436,TRANSPORTE FERNANDEZ,85.11%
3420,TRANSPORTE CERESO,3421,TRANSPORTE CHAVERO,85.71%
3421,TRANSPORTE CHAVERO,3428,TRANSPORTE DUCHER,85.71%
3422,TRANSPORTE CIUDAD DE TOAY,3545,TRASPORTE CIUDAD DE TOAY,97.96%
3427,TRANSPORTE DE LUCIA SRL,3430,TRANSPORTE EL LUCERO SRL,85.11%
3429,TRANSPORTE EL HONDA,3431,TRANSPORTE EL ONDA,97.30%
3433,TRANSPORTE EUGENIO COLALONGO,3434,TRANSPORTE EUGENIO COLALONGO S.R.L.,88.89%
3437,TRANSPORTE FILO,3472,TRANSPORTE MILEO,90.32%
3442,TRANSPORTE HC,3443,TRANSPORTE HP,92.31%
3442,TRANSPORTE HC,3509,TRANSPORTES HG,88.89%
3442,TRANSPORTE HC,3511,TRANSPORTES JC,88.89%
3443,TRANSPORTE HP,3509,TRANSPORTES HG,88.89%
3443,TRANSPORTE HP,3444,TRANSPORTE HUEPIL,86.67%
3448,TRANSPORTE JAS LTDA,3484,TRANSPORTE RIOJA LTDA,90.00%
3452,TRANSPORTE LA PORTE�A,3582,TREMPORTE LAS PORTE�A,85.71%
3454,TRANSPORTE LAPRIDA,3466,TRANSPORTE MARISA,85.71%
3468,TRANSPORTE MATUS,3514,TRANSPORTES MATUS,96.97%
3468,TRANSPORTE MATUS,3469,TRANSPORTE MATUS SRL,88.89%
3468,TRANSPORTE MATUS,3517,TRANSPORTES MT,86.67%
3469,TRANSPORTE MATUS SRL,3514,TRANSPORTES MATUS,86.49%
3477,TRANSPORTE PANZER,3520,TRANSPORTES PANZER,97.14%
3479,TRANSPORTE QUELY,3507,TRANSPORTES ESQUEL,88.24%
3483,TRANSPORTE RIOJA L.T.D.A,3484,TRANSPORTE RIOJA LTDA,93.33%
3492,TRANSPORTE SERRANO,3551,TRASPORTE SERRANO SRL,87.18%
3504,TRANSPORTES  SEBA,3522,TRANSPORTES SEBA.,94.12%
3508,TRANSPORTES GALA,3509,TRANSPORTES HG,86.67%
3509,TRANSPORTES HG,3511,TRANSPORTES JC,85.71%
3509,TRANSPORTES HG,3517,TRANSPORTES MT,85.71%
3511,TRANSPORTES JC,3517,TRANSPORTES MT,85.71%
3514,TRANSPORTES MATUS,3517,TRANSPORTES MT,90.32%
3523,TRANSPORTES SERRANO S.R.L,3551,TRASPORTE SERRANO SRL,91.30%
3528,TRANSTUR,3529,TRANSUR,93.33%
3530,TRANSUR 10 DE JUNIIO,3531,TRANSUR 10 DE JUNIO,97.44%
3530,TRANSUR 10 DE JUNIIO,3533,TRANSUR 10 DE JUNIO SRL,88.37%
